'Reference';'Value';'Footprint';'Datasheet';'Qty';'DNP';'Exclude from BOM';'Exclude from Board'
'C1,C2';'104';'Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm';'~';'2';'';'';''
'C3,C4,C5,C6,C9,C10';'100nF';'Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm';'~';'6';'';'';''
'C7,C8';'10uF';'Capacitor_THT:CP_Radial_D4.0mm_P2.00mm';'~';'2';'';'';''
'D1';'LED';'LED_THT:LED_D3.0mm';'~';'1';'';'';''
'J1';'ADC_SIGNAL';'Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical';'~';'1';'';'';''
'J2';'LASER';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'~';'1';'';'';''
'J3';'FN_RST_BTN';'Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical';'~';'1';'';'';''
'J4';'PHOTODIODE';'Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical';'~';'1';'';'';''
'J5';'SIGGEN';'Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical';'~';'1';'';'';''
'J6';'5V_TERM';'Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical';'~';'1';'';'';''
'J7';'OLED';'Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical';'~';'1';'';'';''
'Q1';'2N2222';'Package_TO_SOT_THT:TO-92';'https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs';'1';'';'';''
'R1,R2,R3,R4,R5,R7';'1k';'Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal';'~';'6';'';'';''
'R6';'300';'Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal';'~';'1';'';'';''
'U1';'ESP32-DevKitC';'PCM_Espressif:ESP32-DevKitC';'https://docs.espressif.com/projects/esp-idf/zh_CN/latest/esp32/hw-reference/esp32/get-started-devkitc.html';'1';'';'';''
'U2';'TL072';'Package_DIP:DIP-8_W7.62mm';'http://www.ti.com/lit/ds/symlink/tl071.pdf';'1';'';'';''
